source,target
Szolnok,Püspökladány
Miskolc,Košice
Miskolc,Debrecen
Szekszárd,Mohács
Subotica,Novi Sad
Subotica,Sombor
Arad,Oradea
Arad,Timişoara
Arad,Deva
Novi Sad,Belgrade
Sombor,Osijek
Belgrade,Vršac
Belgrade,Čačak
Vršac,Timişoara
Čačak,Užice
Čačak,Kraljevo
Drobeta-Turnu Severin,Timişoara
Drobeta-Turnu Severin,Craiova
Sofia,Plovdiv
Sofia,Botevgrad
Sofia,Blagoevgrad
Sofia,Kyustendil
Gevgelija,Evzoni
Alexandroupoli,Didymoteicho
Alexandroupoli,Gelibolu
Serres,Blagoevgrad
Klaipėda,Kaunas
Klaipėda,Palanga
Kaunas,Vilnius
Kaunas,Riga
Kaunas,Ukmergė
Palanga,Šiauliai
Vilnius,Lida
Vilnius,Minsk
Vilnius,Marijampolė
Vilnius,Ukmergė
Riga,Pskov
Riga,Tallinn
Riga,Šiauliai
Riga,Ventspils
Riga,Rēzekne
Ukmergė,Daugavpils
Ukmergė,Panevėžys
Lida,Slonim
Minsk,Brest
Minsk,Smolensk
Minsk,Babruysk
Marijampolė,Nesterov
Slonim,Kobryn
Kobryn,Dubno
Dubno,Ternopil
Ternopil,Chernivtsi
Ternopil,Stryj
Ternopil,Khmelnytskyi
Chernivtsi,Siret
Stryj,Mukachevo
Khmelnytskyi,Vinnytsia
Siret,Suceava
Suceava,Roman
Suceava,Halmeu
Suceava,Iaşi
Roman,Urziceni
Halmeu,Mukachevo
Halmeu,Satu Mare
Iaşi,Sculeni
Iaşi,Săbăoani
Iaşi,Bălţi
Urziceni,Bucharest
Urziceni,Slobozia
Bucharest,Giurgiu
Bucharest,Ploieşti
Bucharest,Constanţa
Bucharest,Alexandria
Bucharest,Piteşti
Slobozia,Hârşova
Slobozia,Galaţi
Giurgiu,Ruse
Ploieşti,Braşov
Ploieşti,Buzău
Constanţa,Hârşova
Constanţa,Agigea
Constanţa,Varna
Constanţa,Tulcea
Alexandria,Craiova
Piteşti,Braşov
Piteşti,Craiova
Piteşti,Sibiu
Ruse,Byala
Ruse,Razgrad
Byala,Veliko Tarnovo
Byala,Pleven
Razgrad,Shumen
Veliko Tarnovo,Stara Zagora
Veliko Tarnovo,Shumen
Veliko Tarnovo,Yablanitsa
Pleven,Jablanica
Stara Zagora,Haskovo
Stara Zagora,Burgas
Stara Zagora,Popovica
Shumen,Varna
Haskovo,Svilengrad
Burgas,Varna
Burgas,Malko Tarnovo
Svilengrad,Ormenio
Ormenio,Kastanies
Kastanies,Didymoteicho
Gelibolu,Keşan
Gelibolu,Ayvalık
Saint Petersburg,Pskov
Saint Petersburg,Moscow
Saint Petersburg,Petrozavodsk
Saint Petersburg,Narva
Saint Petersburg,Vyborg
Pskov,Gomel
Moscow,Kaluga
Moscow,Orel
Moscow,Yaroslavl
Moscow,Voronezh
Moscow,Tambov
Moscow,Smolensk
Moscow,Ryazan
Moscow,Velikiye Luki
Moscow,Vladimir
Petrozavodsk,Murmansk
Narva,Tallinn
Vyborg,Vaalimaa
Gomel,Kiev
Gomel,Babruysk
Kiev,Odessa
Kiev,Hlukhiv
Kiev,Kharkiv
Kiev,Rivne
Kiev,Zhytomyr
Odessa,Izmail
Odessa,Chişinău
Odessa,Mykolaiv
Hlukhiv,Bryansk
Hlukhiv,Kursk
Kharkiv,Orel
Kharkiv,Simferopol
Kharkiv,Luhansk
Rivne,Lviv
Rivne,Zhytomyr
Rivne,Kovel
Zhytomyr,Vinnytsia
Izmail,Reni
Chişinău,Kirovohrad
Chişinău,Sculeni
Chişinău,Leuşeni
Chişinău,Giurgiuleşti
Mykolaiv,Kherson
Samsun,Merzifon
Samsun,Ordu
Ordu,Giresun
Kaluga,Bryansk
Voronezh,Novorossiysk
Voronezh,Kursk
Voronezh,Saratov
Tambov,Povorino
Ryazan,Penza
Velikiye Luki,Rēzekne
Vladimir,Nizhny Novgorod
Simferopol,Alushta
Luhansk,Volgograd
Alushta,Yalta
Novorossiysk,Dzhankoy
Novorossiysk,Sochi
Saratov,Oral
Dzhankoy,Kherson
Sochi,Sukhumi
Mineralnye Vody,Nalchik
Mineralnye Vody,Makhachkala
Mineralnye Vody,Armavir
Nalchik,Vladikavkaz
Makhachkala,Astrakhan
Makhachkala,Kuba
Armavir,Rostov-on-Don
Vladikavkaz,Stepantsminda
Stepantsminda,Mtskheta
Mtskheta,Tbilisi
Tbilisi,Marneuli
Tbilisi,Gori
Tbilisi,Rustavi
Marneuli,Bolnisi
Marneuli,Sadakhlo
Gori,Khashuri
Rustavi,Ganja
Bolnisi,Yerevan
Sadakhlo,Bagratashen
Yerevan,Goris
Goris,Megri
Povorino,Volgograd
Volgograd,Astrakhan
Astrakhan,Atyrau
Atyrau,Oral
Atyrau,Beineu
Atyrau,Beyneu
Kuba,Baku
Baku,Alyat
Baku,Yevlakh
Alyat,Astara
Alyat,Saatly Rayon
Yevlakh,Ganja
Saatly Rayon,Mehgri
Samara,Oral
Samara,Penza
Samara,Ufa
Oral,Aktobe
Ufa,Chelyabinsk
Ufa,Yelabuga
Aktobe,Karabutak
Beineu,Shetpe
Beyneu,Qo‘ng‘irot
Shetpe,Zhetybai
Zhetybai,Fetisovo
Fetisovo,Bekdash
Bekdash,Türkmenbaşy
Türkmenbaşy,Gyzylarbat
Gyzylarbat,Ashgabat
Ashgabat,Daşoguz
Ashgabat,Tejen
Ashgabat,Gaudan
Chelyabinsk,Kostanay
Chelyabinsk,Kurgan
Kostanay,Esil
Kurgan,Ishim
Esil,Derzhavinsk
Derzhavinsk,Arkalyk
Arkalyk,Jezkazgan
Jezkazgan,Kyzylorda
Jezkazgan,Karaganda
Kyzylorda,Shymkent
Kyzylorda,Novokazalinsk
Karaganda,Astana
Karaganda,Balkhash
Karaganda,Pavlodar
Shymkent,Tashkent
Shymkent,Zhambyl
Novokazalinsk,Aral
Tashkent,Ayni
Tashkent,Jizzakh
Tashkent,Kokand
Zhambyl,Bishkek
Ayni,Dushanbe
Ayni,Kokand
Jizzakh,Samarkand
Kokand,Andijan
Dushanbe,Panji Poyon
Dushanbe,Termez
Dushanbe,Jirgatal
Dushanbe,Kulob
Termez,Sherobod
Jirgatal,Sary Tash
Jirgatal,Khorugh
Kulob,Kalaikhumb
Ishim,Astana
Ishim,Omsk
Ishim,Tyumen
Astana,Atbasar
Omsk,Pavlodar
Tyumen,Yekaterinburg
Atbasar,Zhaksy
Balkhash,Burubaytal
Pavlodar,Semey
Pavlodar,Uspenovka
Burubaytal,Almaty
Almaty,Bishkek
Almaty,Sary-Ozek
Almaty,Kokpek
Bishkek,Naryn
Bishkek,Osh
Sary-Ozek,Taldykorgan
Sary-Ozek,Koktal
Kokpek,Kegen
Kokpek,Chundzha
Naryn,Torugart Pass
Osh,Irkeshtam
Osh,Andijan
Semey,Georgiyevka
Georgiyevka,Maikapshagai
Georgiyevka,Ayagoz
Georgiyevka,Oskemen
Ayagoz,Taskesken
Oskemen,Ridder
Melbu,Sortland
Sortland,Lødingen
Lødingen,Evenes
Evenes,Narvik
Narvik,Kiruna
Narvik,Ballangen
Narvik,Setermoen
Kiruna,Töre
Setermoen,Alta
Töre,Luleå
Luleå,Umeå
Luleå,Haparanda
Umeå,Mo i Rana
Umeå,Örnsköldsvik
Jönköping,Linköping
Stockholm,Södertälje
Stockholm,Uppsala
Karlstad,Askim
Västerås,Stockholm/Kapellskär
Södertälje,Norrköping
Tallinn,Tartu
Tallinn,Keila
Tartu,Võru
Tartu,Jõhvi
Tartu,Valga
Keila,Paldiski
Oldenzaal,Osnabrück
Hoogeveen,Haselünne
Halle,Plauen
Halle,Tournai
Brest,Rennes
Brest,Lorient
Radom,Rzeszów
Lublin,Lviv
Lublin,Kovel
Lorient,Vannes
Yelabuga,Kazan
Yelabuga,Perm
Zeebrugge,Jabbeke
Roeselare,Kortrijk
Hasselt,Heerlen
Wetzlar,Koblenz
Bad Hersfeld,Eisenach
Eisenach,Erfurt
Erfurt,Gera
Gera,Hirschberg
Hirschberg,Hof
Plauen,Schönberg
Plauen,Hof
Opole,Gliwice
Kłodzko,Kudowa-Zdrój
Rzeszów,Jarosław
Rzeszów,Barwinek
Trstená,Ružomberok
Jarosław,Korczowa
Barwinek,Vyšný Komárnik
Korczowa,Lviv
Lviv,Mukachevo
Mukachevo,Uzhhorod
Vinnytsia,Uman
Vinnytsia,Mohyliv-Podilskyi
Qo‘ng‘irot,Nukus
Nukus,Daşoguz
Daşoguz,Bukhara
Daşoguz,Uchkuduk
Bukhara,Navoiy
Bukhara,Alat
Bukhara,Karshi
Bukhara,Uchkuduk
Uchkuduk,Kzylorda
Navoiy,Samarkand
Alat,Türkmenabat
Karshi,Guzar
Samarkand,Guza
Taldykorgan,Ucharal
Koktal,Chundzha
Koktal,Khorgas
Ucharal,Taskesken
Taskesken,Bakhty
Angers,Nantes
Charleroi,Mons
Charleroi,Nivelles
České Budějovice,Halámky
České Budějovice,Humpolec
Prešov,Košice
Prešov,Svidník
Košice,Vyšné Nemecké
Košice,Uzhhorod
Svidník,Vyšný Komárnik
Vyšné Nemecké,Uzhhorod
Uzhhorod,Chop
Chop,Nyíregyháza
Uman,Kirovohrad
Mohyliv-Podilskyi,Bălţi
Kirovohrad,Dnipropetrovsk
Kirovohrad,Poltava
Dnipropetrovsk,Donetsk
Donetsk,Rostov-on-Don
Rostov-on-Don,Taganrog
Taganrog,Melitopol
Vannes,Nantes
Nantes,Poitiers
Vierzon,Montluçon
Auxerre,Beaune
Beaune,Dole
Dole,Besançon
Winterthur,St. Gallen
Winterthur,Schaffhausen
St. Gallen,St. Margrethen
St. Margrethen,Bregenz
St. Margrethen,Buchs
Bregenz,Feldkirch
Buchs,Chur
Feldkirch,Landeck
Liezen,Sankt Michael
Liezen,Altenmarkt im Pongau
Graz,Sankt Michael
Graz,Spielfeld
Graz,Veszprém
Püspökladány,Oradea
Püspökladány,Nyíregyháza
Oradea,Cluj-Napoca
Oradea,Berettyóújfalu
Oradea,Beiuş
Oradea,Satu Mare
Cluj-Napoca,Turda
Cluj-Napoca,Zalău
Cluj-Napoca,Dej
Berettyóújfalu,Debrecen
Beiuş,Deva
Satu Mare,Zalău
Turda,Târgu Mureş
Turda,Sebeş
Târgu Mureş,Braşov
Sebeş,Sibiu
Braşov,Sibiu
Braşov,Bacău
Sibiu,Deva
Galaţi,Reni
Galaţi,Tulcea
Galaţi,Giurgiuleşti
Agigea,Negru Vodă
Negru Vodă,Kardam
Poti,Senaki
Poti,Batumi
Senaki,Samtredia
Senaki,Zugdidi
Batumi,Trabzon
Samtredia,Kutaisi
Samtredia,Lanchkhuti
Zugdidi,Sukhumi
Kutaisi,Khashuri
Lanchkhuti,Supsa
Tejen,Mary
Mary,Türkmenabat
Guzar,Sherobod
Sary Tash,Irkeshtam
Khorugh,Kalaikhumb
Khorugh,Murghab
Khorugh,Ishkoshim
A Coruña,Pontevedra
Pontevedra,Valença
Logroño,Zaragoza
Naklo,Loiblpass
Craiova,Târgu Jiu
Craiova,Calafat
Târgu Jiu,Petroşani
Giresun,Trabzon
Porto,Valença
Porto,Vila Real
Albufeira,Castro Marim
Plovdiv,Istanbul
Botevgrad,Vraca
Botevgrad,Jablanica
Istanbul,İzmit
İzmit,Gerede
İzmit,Bursa
Gerede,Amasya
Gerede,Kızılcahamam
Bursa,Lapseki
Bursa,Ankara
Bursa,Balıkesir
Amasya,Erzurum
Kızılcahamam,Ankara
Erzurum,Gürbulak
Gürbulak,Iran
Reggio Calabria,Metaponto
Arta,Agrinio
Keşan,Havsa
Keşan,Tekirdağ
Ayvalık,İzmir
Ankara,Adana
Ankara,Yozgat
Balıkesir,Manisa
Adana,Nusaybin
Yozgat,Sivas
Nusaybin,Khabur River
Khabur River,Iraq
Vila Real,Bragança
Vila Real,Viseu
Vila Real,Chaves
Cherbourg-Octeville,La Rochelle
Cherbourg-Octeville,Caen
La Rochelle,Niort
La Rochelle,Saintes
Caen,Saint-Brieuc
Hamar,Lillehammer
Sandvika,Hønefoss
Drammen,Horten
Drammen,Kongsberg
Lillehammer,Dombås
Dombås,Åndalsnes
Åndalsnes,Tresfjord
Stjørdal,Steinkjer
Orkanger,Vinjeøra
Steinkjer,Mosjøen
Mosjøen,Mo i Rana
Mo i Rana,Rognan
Rognan,Fauske
Alta,Olderfjord
Olderfjord,Lakselv
Olderfjord,Nordkapp
Pau,Jaca
Jaca,Zaragoza
Sion,Simplon
Bremerhaven,Cuxhaven
Vinjeøra,Halsa
Halsa,Straumsnes
