Source,Target
Malmö,Trelleborg
Malmö,Kalmar
Świnoujście,Wolin
Wolin,Goleniów
Goleniów,Szczecin
Goleniów,Koszalin
Szczecin,Gorzów Wielkopolski
Gorzów Wielkopolski,Świebodzin
Świebodzin,Zielona Góra
Świebodzin,Poznań
Zielona Góra,Legnica
Legnica,Jelenia Góra
Legnica,Görlitz
Legnica,Wrocław
Legnica,Cottbus
Jelenia Góra,Harrachov
Harrachov,Železný Brod
Železný Brod,Turnov
Turnov,Mladá Boleslav
Turnov,Hradec Králové
Turnov,Teplice
Jihlava,Brno
Jihlava,Vienna
Brno,Bratislava
Brno,Trenčín
Brno,Vienna
Brno,Olomouc
Brno,Svitavy
Bratislava,Rajka
Bratislava,Žilina
Bratislava,Győr
Bratislava,Vienna
Bratislava,Zvolen
Bratislava,Dunajská Streda
Rajka,Csorna
Csorna,Szombathely
Szombathely,Zalaegerszeg
Zalaegerszeg,Nagykanizsa
Nagykanizsa,Letenye
Nagykanizsa,Zagreb
Nagykanizsa,Balatonvilágos
Letenye,Zagreb
Letenye,Torniyiszentmiklós
Zagreb,Karlovac
Zagreb,Ljubljana
Zagreb,Slavonski Brod
Zagreb,Maribor
Karlovac,Rijeka
Karlovac,Knin
Rijeka,Split
Rijeka,Trieste
Rijeka,Pula
Split,Dubrovnik
Split,Knin
Dubrovnik,Petrovac
Dubrovnik,Podgorica
Petrovac,Podgorica
Petrovac,Prizren
Podgorica,Bijelo Polje
Podgorica,Pristina
Podgorica,Sarajevo
Bijelo Polje,Pristina
Bijelo Polje,Nova Varoš
Pristina,Skopje
Pristina,Niš
Pristina,Prizren
Skopje,Kičevo
Skopje,Kumanovo
Skopje,Veles
Kičevo,Ohrid
Ohrid,Bitola
Bitola,Niki
Niki,Vevi
Vevi,Kozani
Kozani,Larissa
Kozani,Thessaloniki
Kozani,Ioannina
Larissa,Domokos
Larissa,Lamia
Larissa,Katerini
Larissa,Trikala
Larissa,Volos
Domokos,Lamia
Lamia,Brallos
Lamia,Athens
Lamia,Karpenisi
Brallos,Itea
Itea,Antirrio
Aigio,Corinth
Corinth,Tripoli
Corinth,Megara
Tripoli,Sparti
Kissamos,Chania
Chania,Heraklion
Vardø,Vadsø
Vadsø,Varangerbotn
Varangerbotn,Utsjoki
Varangerbotn,Kirkenes
Varangerbotn,Karasjok
Utsjoki,Inari
Inari,Ivalo
Ivalo,Sodankylä
Sodankylä,Rovaniemi
Sodankylä,Kemijärvi
Rovaniemi,Kemi
Kemi,Oulu
Kemi,Tornio
Oulu,Jyväskylä
Oulu,Kokkola
Jyväskylä,Heinola
Jyväskylä,Kuopio
Jyväskylä,Tampere
Heinola,Lahti
Lahti,Helsinki
Helsinki,Hämeenlinna
Helsinki,Turku/Naantali
Helsinki,Kotka
Gdańsk,Świecie
Gdańsk,Kaliningrad
Gdańsk,Elbląg
Gdańsk,Gdynia
Świecie,Łódź
Świecie,Poznań
Łódź,Piotrków Trybunalski
Piotrków Trybunalski,Katowice
Piotrków Trybunalski,Warsaw
Piotrków Trybunalski,Wrocław
Katowice,Žilina
Katowice,Zabrze
Katowice,Kraków
Katowice,Český Těšín
Žilina,Olomouc
Győr,Budapest
Győr,Vámosszabadi
Budapest,Szeged
Budapest,Mosonmagyaróvár
Budapest,Szolnok
Budapest,Miskolc
Budapest,Balatonvilágos
Budapest,Szekszárd
Budapest,Zvolen
Szeged,Subotica
Szeged,Arad
Subotica,Novi Sad
Subotica,Sombor
Novi Sad,Belgrade
Belgrade,Niš
Belgrade,Slavonski Brod
Belgrade,Vršac
Belgrade,Čačak
Niš,Kumanovo
Niš,Drobeta-Turnu Severin
Niš,Sofia
Kumanovo,Kyustendil
Veles,Gevgelija
Gevgelija,Evzoni
Evzoni,Thessaloniki
Thessaloniki,Katerini
Thessaloniki,Alexandroupoli
Thessaloniki,Serres
Heraklion,Agios Nikolaos
Agios Nikolaos,Sitia
Klaipėda,Kaunas
Klaipėda,Palanga
Kaunas,Vilnius
Kaunas,Warsaw
Kaunas,Riga
Kaunas,Ukmergė
Vilnius,Lida
Vilnius,Minsk
Vilnius,Marijampolė
Vilnius,Ukmergė
Lida,Slonim
Slonim,Kobryn
Kobryn,Dubno
Dubno,Ternopil
Ternopil,Chernivtsi
Ternopil,Stryj
Ternopil,Khmelnytskyi
Chernivtsi,Siret
Siret,Suceava
Suceava,Roman
Suceava,Halmeu
Suceava,Iaşi
Roman,Urziceni
Urziceni,Bucharest
Urziceni,Slobozia
Bucharest,Giurgiu
Bucharest,Ploieşti
Bucharest,Constanţa
Bucharest,Alexandria
Bucharest,Piteşti
Giurgiu,Ruse
Ruse,Byala
Ruse,Razgrad
Byala,Veliko Tarnovo
Byala,Pleven
Veliko Tarnovo,Stara Zagora
Veliko Tarnovo,Shumen
Veliko Tarnovo,Yablanitsa
Stara Zagora,Haskovo
Stara Zagora,Burgas
Stara Zagora,Popovica
Haskovo,Svilengrad
Svilengrad,Ormenio
Ormenio,Kastanies
Kastanies,Didymoteicho
Didymoteicho,Alexandroupoli
Alexandroupoli,Gelibolu
Saint Petersburg,Pskov
Saint Petersburg,Moscow
Saint Petersburg,Petrozavodsk
Saint Petersburg,Narva
Saint Petersburg,Vyborg
Pskov,Gomel
Pskov,Riga
Gomel,Kiev
Gomel,Babruysk
Kiev,Odessa
Kiev,Hlukhiv
Kiev,Kharkiv
Kiev,Rivne
Kiev,Zhytomyr
Odessa,Izmail
Odessa,Chişinău
Odessa,Mykolaiv
Samsun,Merzifon
Samsun,Ordu
Moscow,Kaluga
Moscow,Orel
Moscow,Yaroslavl
Moscow,Voronezh
Moscow,Tambov
Moscow,Smolensk
Moscow,Ryazan
Moscow,Velikiye Luki
Moscow,Vladimir
Kaluga,Bryansk
Bryansk,Hlukhiv
Hlukhiv,Kursk
Kirkenes,Murmansk
Murmansk,Petrozavodsk
Orel,Kharkiv
Kharkiv,Simferopol
Kharkiv,Luhansk
Simferopol,Alushta
Alushta,Yalta
Voronezh,Novorossiysk
Voronezh,Kursk
Voronezh,Saratov
Novorossiysk,Dzhankoy
Novorossiysk,Sochi
Mineralnye Vody,Nalchik
Mineralnye Vody,Makhachkala
Mineralnye Vody,Armavir
Nalchik,Vladikavkaz
Vladikavkaz,Stepantsminda
Stepantsminda,Mtskheta
Mtskheta,Tbilisi
Tbilisi,Marneuli
Tbilisi,Gori
Tbilisi,Rustavi
Marneuli,Bolnisi
Marneuli,Sadakhlo
Bolnisi,Yerevan
Yerevan,Goris
Goris,Megri
Tambov,Povorino
Povorino,Volgograd
Volgograd,Astrakhan
Volgograd,Luhansk
Astrakhan,Makhachkala
Astrakhan,Atyrau
Makhachkala,Kuba
Kuba,Baku
Baku,Alyat
Baku,Yevlakh
Alyat,Astara
Alyat,Saatly Rayon
Samara,Oral
Samara,Penza
Samara,Ufa
Oral,Atyrau
Oral,Saratov
Oral,Aktobe
Atyrau,Beineu
Atyrau,Beyneu
Beineu,Shetpe
Shetpe,Zhetybai
Zhetybai,Fetisovo
Fetisovo,Bekdash
Bekdash,Türkmenbaşy
Türkmenbaşy,Gyzylarbat
Gyzylarbat,Ashgabat
Chelyabinsk,Kostanay
Chelyabinsk,Ufa
Chelyabinsk,Kurgan
Kostanay,Esil
Esil,Derzhavinsk
Derzhavinsk,Arkalyk
Arkalyk,Jezkazgan
Jezkazgan,Kyzylorda
Jezkazgan,Karaganda
Kyzylorda,Shymkent
Kyzylorda,Novokazalinsk
Shymkent,Tashkent
Shymkent,Zhambyl
Tashkent,Ayni
Tashkent,Jizzakh
Tashkent,Kokand
Ayni,Dushanbe
Ayni,Kokand
Dushanbe,Panji Poyon
Dushanbe,Termez
Dushanbe,Jirgatal
Dushanbe,Kulob
Ishim,Astana
Ishim,Omsk
Ishim,Kurgan
Ishim,Tyumen
Astana,Karaganda
Astana,Atbasar
Karaganda,Balkhash
Karaganda,Pavlodar
Balkhash,Burubaytal
Burubaytal,Almaty
Almaty,Bishkek
Almaty,Sary-Ozek
Almaty,Kokpek
Bishkek,Naryn
Bishkek,Zhambyl
Bishkek,Osh
Naryn,Torugart Pass
Omsk,Pavlodar
Pavlodar,Semey
Pavlodar,Uspenovka
Semey,Georgiyevka
Georgiyevka,Maikapshagai
Georgiyevka,Ayagoz
Georgiyevka,Oskemen
Å,Svolvær
Melbu,Sortland
Sortland,Lødingen
Lødingen,Evenes
Evenes,Narvik
Narvik,Kiruna
Narvik,Ballangen
Narvik,Setermoen
Kiruna,Töre
Töre,Luleå
Luleå,Umeå
Luleå,Haparanda
Shannon,Limerick
Limerick,Dublin
Dublin,Rosslare
Dublin,Drogheda
Liverpool,Manchester
Manchester,Leeds
Manchester,Warrington
Leeds,Kingston upon Hull
Leeds,Doncaster
Helsingborg,Halmstad
Helsingborg,Jönköping
Örebro,Stockholm
Örebro,Karlstad
Örebro,Västerås
Stockholm,Södertälje
Stockholm,Uppsala
Tallinn,Narva
Tallinn,Riga
Tallinn,Tartu
Tallinn,Keila
Cork,Waterford
Cork,Portlaoise
Waterford,Wexford
Wexford,Rosslare
Fishguard,Swansea
Swansea,Bridgend
Bridgend,Cardiff
Cardiff,Newport
Newport,Bristol
Colchester,Ipswich
Colchester,Harwich
Ipswich,Felixstowe
Ipswich,Cambridge
The Hague,Gouda
Amersfoort,Oldenzaal
Amersfoort,Hoogeveen
Oldenzaal,Osnabrück
Osnabrück,Bad Oeynhausen
Bad Oeynhausen,Dortmund
Braunschweig,Magdeburg
Magdeburg,Halle
Poznań,Warsaw
Poznań,Wrocław
Warsaw,Brest
Warsaw,Elbląg
Warsaw,Radom
Warsaw,Lublin
Brest,Minsk
Brest,Rennes
Brest,Lorient
Minsk,Smolensk
Minsk,Babruysk
Ryazan,Penza
Ufa,Yelabuga
Bruges,Ghent
Bruges,Zeebrugge
Bruges,Roeselare
Ghent,Brussels
Brussels,Leuven
Leuven,Hasselt
Eupen,Aachen
Eupen,St. Vith
Eupen,Eynatten
Aachen,Heerlen
Olpe,Wetzlar
Wetzlar,Gießen
Wetzlar,Dortmund
Wetzlar,Aschaffenburg
Wetzlar,Koblenz
Gießen,Bad Hersfeld
Bad Hersfeld,Eisenach
Eisenach,Erfurt
Erfurt,Gera
Gera,Chemnitz
Gera,Leipzig
Gera,Hirschberg
Chemnitz,Plauen
Wrocław,Opole
Wrocław,Kłodzko
Opole,Gliwice
Gliwice,Zabrze
Kraków,Rzeszów
Kraków,Radom
Kraków,Trstená
Rzeszów,Jarosław
Rzeszów,Radom
Rzeszów,Barwinek
Jarosław,Korczowa
Korczowa,Lviv
Lviv,Rivne
Lviv,Mukachevo
Lviv,Lublin
Rivne,Zhytomyr
Rivne,Kovel
Zhytomyr,Vinnytsia
Beyneu,Qo‘ng‘irot
Qo‘ng‘irot,Nukus
Nukus,Daşoguz
Daşoguz,Bukhara
Daşoguz,Ashgabat
Daşoguz,Uchkuduk
Bukhara,Navoiy
Bukhara,Alat
Bukhara,Karshi
Bukhara,Uchkuduk
Navoiy,Samarkand
Samarkand,Jizzakh
Samarkand,Guza
Sary-Ozek,Taldykorgan
Sary-Ozek,Koktal
Taldykorgan,Ucharal
Ucharal,Taskesken
Taskesken,Ayagoz
Taskesken,Bakhty
Oskemen,Ridder
Rennes,Le Mans
Le Mans,Angers
Le Mans,Tours
Le Mans,Rouen
Reims,Charleroi
Reims,Charleville-Mézières
Reims,Rouen
Saarbrücken,Mannheim
Saarbrücken,Trier
Mannheim,Heilbronn
Rozvadov,Plzeň
Plzeň,Karlovy Vary
Plzeň,České Budějovice
Plzeň,Bayerisch Eisenstein
Trenčín,Prešov
Trenčín,Žiar nad Hronom
Prešov,Košice
Prešov,Svidník
Košice,Vyšné Nemecké
Košice,Uzhhorod
Košice,Miskolc
Košice,Zvolen
Vyšné Nemecké,Uzhhorod
Uzhhorod,Mukachevo
Uzhhorod,Chop
Mukachevo,Stryj
Mukachevo,Halmeu
Khmelnytskyi,Vinnytsia
Vinnytsia,Uman
Vinnytsia,Mohyliv-Podilskyi
Uman,Kirovohrad
Kirovohrad,Dnipropetrovsk
Kirovohrad,Chişinău
Kirovohrad,Poltava
Dnipropetrovsk,Donetsk
Donetsk,Rostov-on-Don
Rostov-on-Don,Armavir
Rostov-on-Don,Taganrog
Lorient,Vannes
Vannes,Nantes
Nantes,Angers
Nantes,Poitiers
Angers,Tours
Tours,Vierzon
Montargis,Auxerre
Auxerre,Beaune
Beaune,Dole
Beaune,Antwerp
Dole,Besançon
Besançon,Belfort
Zürich,Winterthur
Winterthur,St. Gallen
Winterthur,Schaffhausen
St. Gallen,St. Margrethen
St. Margrethen,Bregenz
St. Margrethen,Buchs
Bregenz,Feldkirch
Bregenz,Lindau
Feldkirch,Landeck
Feldkirch,Lauterach
Feldkirch,Imst
Landeck,Telfs
Sattledt,Liezen
Sattledt,Wels
Sankt Pölten,Vienna
Vienna,Nickelsdorf
Vienna,Halámky
Vienna,Graz
Nickelsdorf,Mosonmagyaróvár
Szolnok,Püspökladány
Püspökladány,Oradea
Püspökladány,Nyíregyháza
Oradea,Cluj-Napoca
Oradea,Berettyóújfalu
Oradea,Beiuş
Oradea,Satu Mare
Oradea,Arad
Cluj-Napoca,Turda
Cluj-Napoca,Zalău
Cluj-Napoca,Dej
Turda,Târgu Mureş
Turda,Sebeş
Târgu Mureş,Braşov
Braşov,Ploieşti
Braşov,Sibiu
Braşov,Piteşti
Braşov,Bacău
Ploieşti,Buzău
Slobozia,Hârşova
Slobozia,Galaţi
Hârşova,Constanţa
Constanţa,Agigea
Constanţa,Varna
Constanţa,Tulcea
Agigea,Negru Vodă
Poti,Senaki
Poti,Batumi
Senaki,Samtredia
Senaki,Zugdidi
Samtredia,Kutaisi
Samtredia,Lanchkhuti
Kutaisi,Khashuri
Khashuri,Gori
Rustavi,Ganja
Ganja,Yevlakh
Ashgabat,Tejen
Ashgabat,Gaudan
Tejen,Mary
Mary,Türkmenabat
Türkmenabat,Alat
Karshi,Guzar
Guzar,Sherobod
Sherobod,Termez
Jirgatal,Sary Tash
Jirgatal,Khorugh
Sary Tash,Irkeshtam
Irkeshtam,Osh
A Coruña,Bilbao
A Coruña,Pontevedra
Bilbao,Logroño
Clermont-Ferrand,Montluçon
Clermont-Ferrand,Montpellier
Chambéry,Susa
Chambéry,Marseille
Susa,Turin
Turin,Savona
Tortona,Brescia
Trieste,Postojna
Trieste,Ljubljana
Postojna,Ljubljana
Ljubljana,Maribor
Ljubljana,Naklo
Vršac,Timişoara
Timişoara,Drobeta-Turnu Severin
Timişoara,Arad
Drobeta-Turnu Severin,Craiova
Craiova,Alexandria
Craiova,Târgu Jiu
Craiova,Calafat
Craiova,Piteşti
Razgrad,Shumen
Shumen,Varna
Varna,Burgas
Ordu,Giresun
Giresun,Trabzon
Trabzon,Batumi
Lisbon,Valladolid
Lisbon,Porto
Lisbon,Albufeira
Toulouse,Nice
Nice,Cuneo
Sofia,Plovdiv
Sofia,Botevgrad
Sofia,Blagoevgrad
Sofia,Kyustendil
Plovdiv,Istanbul
Istanbul,İzmit
İzmit,Gerede
İzmit,Bursa
Gerede,Amasya
Gerede,Kızılcahamam
Amasya,Erzurum
Erzurum,Gürbulak
Gürbulak,Iran
Mazara del Vallo,Palermo
Reggio Calabria,Metaponto
Metaponto,Taranto
Metaponto,Potenza
Ioannina,Trikala
Ioannina,Arta
Gelibolu,Keşan
Gelibolu,Ayvalık
Lapseki,Bursa
Bursa,Ankara
Bursa,Balıkesir
Ankara,Adana
Ankara,Kızılcahamam
Ankara,Yozgat
Adana,Nusaybin
Nusaybin,Khabur River
Khabur River,Iraq
Larne,Belfast
Belfast,Newry
Belfast,Derry
Belfast,Craigavon
Newry,Dundalk
Dundalk,Drogheda
Pontevedra,Valença
Valença,Porto
Porto,Vila Real
Albufeira,Castro Marim
Castro Marim,Huelva
Cherbourg-Octeville,La Rochelle
Cherbourg-Octeville,Caen
La Rochelle,Niort
La Rochelle,Saintes
Oslo,Hamar
Oslo,Sandvika
Oslo,Drammen
Oslo,Askim
Hamar,Lillehammer
Lillehammer,Dombås
Dombås,Trondheim
Dombås,Åndalsnes
Trondheim,Stjørdal
Trondheim,Orkanger
Stjørdal,Steinkjer
Steinkjer,Mosjøen
Mosjøen,Mo i Rana
Mo i Rana,Rognan
Mo i Rana,Umeå
Rognan,Fauske
Setermoen,Alta
Alta,Olderfjord
Olderfjord,Lakselv
Olderfjord,Nordkapp
Lakselv,Karasjok
Pau,Jaca
Jaca,Zaragoza
Zaragoza,Logroño
Vierzon,Montluçon
Doncaster,Sheffield
Doncaster,Immingham
Sheffield,Nottingham
Nottingham,Leicester
Leicester,Northampton
Antwerp,Zeebrugge
Martigny,Sion
Bremen,Groningen
Bremen,Bremerhaven
Bremen,Walsrode
Orkanger,Vinjeøra
Vinjeøra,Halsa
Halsa,Straumsnes
Straumsnes,Kristiansund Mainland Connection
Kristiansund Mainland Connection,Batnfjordsøra
Batnfjordsøra,Molde
Vestnes,Skodje
Skodje,Ålesund
Ålesund,Volda
Ålesund,Tresfjord
Volda,Nordfjordeid
Sandane,Førde
Førde,Lavik
Instefjord,Knarvik
Knarvik,Bergen
Bergen,Os
Bergen,Arna
Stord,Sveio
Sveio,Aksdal
Aksdal,Bokn
Rennesøy,Randaberg
Randaberg,Stavanger
Stavanger,Sandnes
Sandnes,Helleland
Helleland,Flekkefjord
Flekkefjord,Lyngdal
Lyngdal,Mandal
Mandal,Kristiansand
Kristiansand,Arendal
Hirtshals,Hjørring
Hjørring,Nørresundby
Stuttgart,Schaffhausen
Stuttgart,Ulm
Ulm,Lindau
Lindau,Waldshut
Buchs,Chur
Chur,San Bernardino
Puttgarden,Oldenburg in Holstein
Oldenburg in Holstein,Lübeck
Halle,Plauen
Halle,Tournai
Plauen,Schönberg
Plauen,Hof
Schönberg,Vojtanov
Vojtanov,Cheb
Cheb,Karlovy Vary
Cheb,Marktredwitz
Karlovy Vary,Teplice
České Budějovice,Halámky
České Budějovice,Humpolec
Hirschberg,Hof
Hof,Bayreuth
Bayreuth,Schweinfurt
Bayreuth,Marktredwitz
Bayerisch Eisenstein,Deggendorf
Liezen,Sankt Michael
Liezen,Altenmarkt im Pongau
Sankt Michael,Graz
Graz,Maribor
Graz,Spielfeld
Graz,Klagenfurt
Graz,Veszprém
Maribor,Spielfeld
Karavanke Tunnel,Naklo
Naklo,Loiblpass
Kemijärvi,Posio
Posio,Kuusamo
Kuusamo,Kajaani
Kajaani,Iisalmi
Iisalmi,Kuopio
Tampere,Turku
Tampere,Vaasa
Tampere,Hämeenlinna
Turku,Pori
Riga,Šiauliai
Riga,Ventspils
Riga,Rēzekne
Kłodzko,Kudowa-Zdrój
Kudowa-Zdrój,Náchod
Náchod,Hradec Králové
Hradec Králové,Olomouc
Miskolc,Debrecen
Szekszárd,Mohács
Mohács,Osijek
Osijek,Đakovo
Osijek,Sombor
Đakovo,Šamac
Šamac,Zenica
Zenica,Mostar
Zenica,Donji Vakuf
Zenica,Sarajevo
Mostar,Metković
Šiauliai,Tolpaki
Šiauliai,Palanga
Šiauliai,Panevėžys
Tolpaki,Kaliningrad
Tolpaki,Nesterov
Trstená,Ružomberok
Ružomberok,Zvolen
Debrecen,Berettyóújfalu
Beiuş,Deva
Deva,Petroşani
Deva,Sibiu
Deva,Arad
Petroşani,Târgu Jiu
Vidin,Vraca
Vraca,Botevgrad
Botevgrad,Jablanica
Blagoevgrad,Serres
Halmeu,Satu Mare
Satu Mare,Zalău
Sebeş,Sibiu
Sibiu,Piteşti
Pleven,Jablanica
Izmail,Reni
Reni,Galaţi
Galaţi,Tulcea
Galaţi,Giurgiuleşti
Burgas,Malko Tarnovo
Malko Tarnovo,Dereköy
Dereköy,Kırklareli
Kırklareli,Babaeski
Babaeski,Havsa
Havsa,Keşan
Keşan,Tekirdağ
Ayvalık,İzmir
İzmir,Selçuk
İzmir,Usak
İzmir,Manisa
İzmir,Çeşme
Selçuk,Aydın
Aydın,Denizli
Denizli,Acıpayam
Acıpayam,Korkuteli
Korkuteli,Antalya
Toprakkale,İskenderun
İskenderun,Antakya
Antakya,Yayladağı
Yayladağı,Syria
Kherson,Dzhankoy
